pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,dropped_airport
2016.0,7.0,10.0,0.0,1.8,263.0,162.0,9.5,0.0,0.5,0.0,0.3,2.05,12.35,1.0,0
2016.0,11.0,1.0,0.0,0.8,249.0,68.0,8.0,0.5,0.5,0.0,0.3,0.0,9.3,2.0,0
2016.0,2.0,1.0,0.0,19.0,40.79450989,1.0,40.88246918,3.0,52.0,0.5,0.0,0.5,0.0,-73.86697388,0
2016.0,11.0,1.0,0.0,3.75,79.0,261.0,13.0,0.5,0.5,0.0,0.3,0.0,14.3,2.0,0
2016.0,2.0,1.0,0.0,2.4,40.76280212,1.0,40.75577164,2.0,9.5,0.5,0.0,0.5,0.0,-73.92826843,0
2016.0,11.0,1.0,0.0,0.7,249.0,158.0,6.0,0.5,0.5,0.0,0.3,1.0,8.3,1.0,0
2016.0,7.0,10.0,0.0,3.5,166.0,163.0,13.5,0.0,0.5,0.0,0.3,3.5,17.8,1.0,0
2016.0,7.0,17.0,0.0,1.5,50.0,186.0,7.5,0.5,0.5,0.0,0.3,0.0,8.8,2.0,0
2016.0,7.0,10.0,0.0,1.6,236.0,140.0,8.5,0.0,0.5,0.0,0.3,0.0,9.3,2.0,0
2016.0,2.0,19.0,0.0,3.65,40.75320816,1.0,40.79135895,1.0,13.5,0.5,1.7,0.5,0.0,-73.97389984,0
2016.0,11.0,1.0,0.0,1.7,125.0,232.0,8.5,0.5,0.5,0.0,0.3,0.0,9.8,1.0,0
2016.0,7.0,10.0,0.0,1.05,170.0,186.0,7.5,0.0,0.5,0.0,0.3,0.0,8.3,2.0,0
2016.0,9.0,4.0,0.0,1.63,163.0,236.0,8.0,0.5,0.5,0.0,0.3,0.7,10.0,1.0,0
2016.0,2.0,19.0,0.0,0.52,40.76337814,1.0,40.75865173,2.0,4.0,0.5,0.0,0.5,0.0,-73.96643829,0
2016.0,9.0,4.0,0.0,2.87,107.0,125.0,12.0,0.5,0.5,0.0,0.3,0.0,13.3,2.0,0
2016.0,11.0,15.0,0.0,1.17,68.0,246.0,5.5,0.5,0.5,0.0,0.3,1.7,8.5,1.0,0
2016.0,1.0,29.0,0.0,1.9,40.78109741,1.0,40.80495834,1.0,9.0,0.5,1.96,0.0,0.0,-73.93888855,0
2016.0,7.0,10.0,0.0,1.3,137.0,100.0,7.0,0.0,0.5,0.0,0.3,1.56,9.36,1.0,0
2016.0,11.0,1.0,0.0,3.8,170.0,7.0,15.0,0.5,0.5,0.0,0.3,3.25,19.55,1.0,0
2016.0,9.0,4.0,0.0,1.07,50.0,161.0,7.0,0.5,0.5,0.0,0.3,2.08,10.38,1.0,0
2016.0,2.0,1.0,0.0,2.28,40.76607132,1.0,40.78832245,2.0,8.5,0.5,0.0,0.5,0.0,-73.94101715,0
2016.0,2.0,1.0,0.0,18.81,40.64500046,2.0,40.72578049,1.0,52.0,0.5,11.67,0.0,5.54,-73.9885788,0
2016.0,7.0,10.0,0.0,1.18,113.0,158.0,7.5,0.0,0.5,0.0,0.3,1.66,9.96,1.0,0
2016.0,2.0,19.0,0.0,1.1,40.73588562,1.0,40.73447418,2.0,8.0,0.5,0.0,0.5,0.0,-74.00222778,0
2016.0,11.0,15.0,0.0,0.79,100.0,68.0,5.0,0.5,0.5,0.0,0.3,0.0,6.3,2.0,0
2016.0,7.0,10.0,0.0,1.1,68.0,114.0,7.0,0.0,0.5,0.0,0.3,0.0,7.8,2.0,0
2016.0,11.0,1.0,0.0,1.5,142.0,161.0,9.0,0.5,0.5,0.0,0.3,0.0,10.3,2.0,0
2016.0,1.0,1.0,0.0,1.38,40.71849823,1.0,40.73423004,1.0,7.0,0.5,1.66,0.5,0.0,-73.98980713,0
2016.0,11.0,1.0,0.0,11.4,79.0,243.0,34.0,0.5,0.5,0.0,0.3,0.0,35.3,2.0,0
2016.0,7.0,17.0,0.0,3.8,90.0,65.0,13.5,0.5,0.5,0.0,0.3,3.7,18.5,1.0,0
2016.0,7.0,10.0,0.0,22.3,132.0,50.0,52.0,0.0,0.5,5.54,0.3,8.0,66.34,1.0,0
2016.0,9.0,4.0,0.0,1.62,263.0,162.0,7.5,0.5,0.5,0.0,0.3,1.76,10.56,1.0,0
2016.0,7.0,17.0,0.0,2.7,141.0,79.0,10.5,0.5,0.5,0.0,0.3,0.0,11.8,2.0,0
2016.0,9.0,4.0,0.0,1.72,246.0,48.0,7.0,0.5,0.5,0.0,0.3,1.66,9.96,1.0,0
2016.0,9.0,4.0,0.0,1.89,125.0,107.0,8.5,0.5,0.5,0.0,0.3,1.96,11.76,1.0,0
2016.0,2.0,1.0,0.0,4.09,40.72513962,1.0,40.6995697,1.0,15.0,0.5,4.08,0.5,0.0,-73.94571686,0
2016.0,11.0,1.0,0.0,1.4,224.0,148.0,9.5,0.5,0.5,0.0,0.3,1.05,11.85,1.0,0
2016.0,9.0,4.0,0.0,5.38,164.0,52.0,18.0,0.5,0.5,0.0,0.3,3.86,23.16,1.0,0
2016.0,9.0,4.0,0.0,8.33,114.0,133.0,24.5,0.5,0.5,0.0,0.3,0.0,25.8,2.0,0
2016.0,1.0,1.0,0.0,2.32,40.77373886,1.0,40.75383759,2.0,19.0,0.5,0.0,0.5,0.0,-73.99596405,0
2016.0,1.0,1.0,0.0,0.6,40.75133133,1.0,40.75033951,1.0,5.0,0.5,0.0,0.5,0.0,-73.99134064,0
